metadata_key,n_modules
0,701
1,701
10,539
100,11
101,9
102,9
103,7
104,7
105,6
106,6
107,6
108,6
109,5
11,541
110,6
111,5
112,7
113,7
114,8
115,8
116,8
117,7
118,7
119,5
12,538
120,5
121,4
122,3
123,3
124,1
125,1
13,534
14,491
15,489
16,487
17,482
18,480
19,474
2,701
20,471
21,437
22,421
23,437
24,399
25,257
26,197
27,155
28,169
29,173
3,701
30,173
31,169
32,168
33,168
34,168
35,145
36,156
37,150
38,123
39,121
4,697
40,116
41,78
42,95
43,102
44,103
45,100
46,89
47,97
48,85
49,92
5,697
50,86
51,80
52,96
53,92
54,76
55,84
56,88
57,84
58,76
59,84
6,697
60,76
61,84
62,68
63,80
64,60
65,60
66,68
67,76
68,60
69,44
7,611
70,68
71,60
72,52
73,48
74,52
75,52
76,24
77,28
78,28
79,28
8,613
80,20
81,12
82,12
83,12
84,12
85,11
86,11
87,10
88,10
89,11
9,609
90,11
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,11
air.compile_options,33
air.language_version,33
air.source_file_name,38
air.version,701
llvm.ident,38
llvm.module.flags,701
