toolchain_id,toolchain_path,xcode_ver,metalfe_ver,supported_stds,cxx_std_macro_val,cxx17_backports_active,cxx20_concepts_active,metallib_slice_magic,datalayout_string,verification_status
TC-XCODE-26.0,/Applications/Xcode_26.0.app/Contents/Developer,Xcode 26.0,metalfe-32023.830.2,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済 (`.830.2` ベース)
TC-XCODE-26.0.1,/Applications/Xcode_26.0.1.app/Contents/Developer,Xcode 26.0.1,metalfe-32023.830.2,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.1,/Applications/Xcode_26.1.app/Contents/Developer,Xcode 26.1,metalfe-32023.830.2,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.1.1,/Applications/Xcode_26.1.1.app/Contents/Developer,Xcode 26.1.1,metalfe-32023.830.2,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.2,/Applications/Xcode_26.2.app/Contents/Developer,Xcode 26.2,metalfe-32023.864,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済 (`.864` 中期最適化)
TC-XCODE-26.2.0,/Applications/Xcode_26.2.0.app/Contents/Developer,Xcode 26.2.0,metalfe-32023.864,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.3,/Applications/Xcode_26.3.app/Contents/Developer,Xcode 26.3,metalfe-32023.864,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.3.0,/Applications/Xcode_26.3.0.app/Contents/Developer,Xcode 26.3.0,metalfe-32023.864,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.4,/Applications/Xcode_26.4.app/Contents/Developer,Xcode 26.4,metalfe-32023.883,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済 (`.883` マスタベース)
TC-XCODE-26.4.1,/Applications/Xcode_26.4.1.app/Contents/Developer,Xcode 26.4.1,metalfe-32023.883,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.5,/Applications/Xcode.app/Contents/Developer,Xcode 26.5,metalfe-32023.883,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済 (メインテストベンチ)
TC-XCODE-26.5.0,/Applications/Xcode_26.5.0.app/Contents/Developer,Xcode 26.5.0,metalfe-32023.883,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.6,/Applications/Xcode_26.6.app/Contents/Developer,Xcode 26.6,metalfe-32023.883,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-XCODE-26.6.0,/Applications/Xcode_26.6.0.app/Contents/Developer,Xcode 26.6.0,metalfe-32023.883,metal1.0..4.0,201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済
TC-CRYPTEX-17F109,/private/var/run/.../MetalToolchain-v17.6.109.0.CCBpCv,MobileAsset Cryptex Toolchain 17F109,metalfe-32023.883 (v17.6.109.0),metal1.0..4.0 (`C++11/14/17`),201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済 (`Xcode 26.6` -downloadComponent metalToolchain 実測)
TC-CRYPTEX-324,/private/var/run/.../MetalToolchain-v17.1.324.0.AxtuQi,MobileAsset Cryptex Toolchain 324,metalfe-32023.830.2 (v17.1.324.0),metal1.0..4.0 (`C++11/14/17`),201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済 (スタンドアロン版)
TC-CLT-STANDALONE,/Library/Developer/CommandLineTools,Command Line Tools Toolchain,metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),201703L (`metal4.0`) / 201402L,"Yes (`if constexpr`, `structured bindings`)",No,`MTLB` / `0xcbfebabe`,64-bit pointers (`e-p:64:64:64-...`),✅ 実機検証確認済 (コマンドライン単独)
TC-CLEANROOM-V1.0,Clean-Room Compiler (`clang fork`),Clean-Room Independent Compiler,clang-metal-cleanroom-v1.0,metal1.0..4.1 (`C++11/14/17`),201703L (`metal4.0/4.1`) / 201402L / 201103L,Yes across all standards,No (`C++17-based per specification §1.5`),`MTLB` / `0xcbfebabe` (Byte-exact),64-bit pointers (`e-p:64:64:64-...`),✅ 実証実測互換コンパイラ (`metal4.1` 仕様完全準拠 / C++17ベース)
