builtin,status,method,class
__metal_atomic_max_explicit,no_generatable_method,,
__metal_atomic_max_explicit_texture_1d_array_t,generated,atomic_max,_texture1d_array_atomic_modify
__metal_atomic_max_explicit_texture_1d_t,generated,atomic_max,_texture1d_atomic_modify
__metal_atomic_max_explicit_texture_2d_array_t,generated,atomic_max,_texture2d_array_atomic_modify
__metal_atomic_max_explicit_texture_2d_t,generated,atomic_max,_texture2d_atomic_modify
__metal_atomic_max_explicit_texture_3d_t,generated,atomic_max,_texture3d_atomic_modify
__metal_atomic_max_explicit_texture_buffer_1d_t,generated,atomic_max,_texture_buffer_atomic_modify
__metal_atomic_max_explicit_texture_cube_array_t,generated,atomic_max,_texturecube_array_atomic_modify
__metal_atomic_max_explicit_texture_cube_t,generated,atomic_max,_texturecube_atomic_modify
__metal_atomic_min_explicit,no_generatable_method,,
__metal_atomic_min_explicit_texture_1d_array_t,generated,atomic_min,_texture1d_array_atomic_modify
__metal_atomic_min_explicit_texture_1d_t,generated,atomic_min,_texture1d_atomic_modify
__metal_atomic_min_explicit_texture_2d_array_t,generated,atomic_min,_texture2d_array_atomic_modify
__metal_atomic_min_explicit_texture_2d_t,generated,atomic_min,_texture2d_atomic_modify
__metal_atomic_min_explicit_texture_3d_t,generated,atomic_min,_texture3d_atomic_modify
__metal_atomic_min_explicit_texture_buffer_1d_t,generated,atomic_min,_texture_buffer_atomic_modify
__metal_atomic_min_explicit_texture_cube_array_t,generated,atomic_min,_texturecube_array_atomic_modify
__metal_atomic_min_explicit_texture_cube_t,generated,atomic_min,_texturecube_atomic_modify
__metal_compute_pipeline_state_t,no_generatable_method,,
__metal_depth_2d_array_t,no_generatable_method,,
__metal_depth_2d_ms_array_t,no_generatable_method,,
__metal_depth_2d_ms_t,no_generatable_method,,
__metal_depth_2d_t,no_generatable_method,,
__metal_depth_cube_array_t,no_generatable_method,,
__metal_depth_cube_t,no_generatable_method,,
__metal_depth_stencil_state_t,no_generatable_method,,
__metal_divide,no_generatable_method,,
__metal_draw_indexed_patches_render_command,no_generatable_method,,
__metal_draw_indexed_primitives_render_command,no_generatable_method,,
__metal_draw_patches_render_command,no_generatable_method,,
__metal_function_handle_t,no_generatable_method,,
__metal_get_buffer_intersection_function_table,no_generatable_method,,
__metal_get_candidate_instance_count_intersection_query,no_generatable_method,,
__metal_get_candidate_primitive_data_intersection_query,no_generatable_method,,
__metal_get_committed_instance_count_intersection_query,no_generatable_method,,
__metal_get_committed_primitive_data_intersection_query,no_generatable_method,,
__metal_get_control_point,no_generatable_method,,
__metal_get_curve_parameter_intersection_result,no_generatable_method,,
__metal_get_distance_intersection_result,no_generatable_method,,
__metal_get_extent_tensor,no_generatable_method,,
__metal_get_function_pointer_visible_function_table,no_generatable_method,,
__metal_get_geometry_id_intersection_result,no_generatable_method,,
__metal_get_height_depth_2d_t,generated,get_height,_depth2d
__metal_get_imageblock_color_coverage_mask,no_generatable_method,,
__metal_get_imageblock_height,no_generatable_method,,
__metal_get_imageblock_num_colors,no_generatable_method,,
__metal_get_imageblock_samples,no_generatable_method,,
__metal_get_imageblock_width,no_generatable_method,,
__metal_get_instance_acceleration_structure_instance_acceleration_structure,no_generatable_method,,
__metal_get_instance_count_intersection_result,no_generatable_method,,
__metal_get_instance_id_intersection_result,no_generatable_method,,
__metal_get_null_depth_2d_array_t,no_generatable_method,,
__metal_get_null_depth_2d_ms_array_t,no_generatable_method,,
__metal_get_null_depth_2d_ms_t,no_generatable_method,,
__metal_get_null_depth_2d_t,no_generatable_method,,
__metal_get_null_depth_cube_array_t,no_generatable_method,,
__metal_get_null_depth_cube_t,no_generatable_method,,
__metal_get_null_function_handle,no_generatable_method,,
__metal_get_null_intersection_function_table,no_generatable_method,,
__metal_get_null_primitive_acceleration_structure,no_generatable_method,,
__metal_get_null_texture_1d_array_t,no_generatable_method,,
__metal_get_null_texture_1d_t,no_generatable_method,,
__metal_get_null_texture_2d_array_t,no_generatable_method,,
__metal_get_null_texture_2d_ms_array_t,no_generatable_method,,
__metal_get_null_texture_2d_ms_t,no_generatable_method,,
__metal_get_null_texture_2d_t,no_generatable_method,,
__metal_get_null_texture_3d_t,no_generatable_method,,
__metal_get_null_texture_buffer_1d_t,no_generatable_method,,
__metal_get_null_texture_cube_array_t,no_generatable_method,,
__metal_get_null_texture_cube_t,no_generatable_method,,
__metal_get_null_visible_function_table,no_generatable_method,,
__metal_get_num_patch_control_points,no_generatable_method,,
__metal_get_num_samples_depth_2d_ms_t,generated,get_num_samples,_depth2d_ms
__metal_get_object_to_world_transform_intersection_result,no_generatable_method,,
__metal_get_primitive_acceleration_structure_instance_acceleration_structure,no_generatable_method,,
__metal_get_primitive_data_intersection_result,no_generatable_method,,
__metal_get_primitive_id_intersection_result,no_generatable_method,,
__metal_get_ray_direction_intersection_result,no_generatable_method,,
__metal_get_ray_min_distance_intersection_result,no_generatable_method,,
__metal_get_ray_origin_intersection_result,no_generatable_method,,
__metal_get_resource_id_instance_acceleration_structure,no_generatable_method,,
__metal_get_resource_id_primitive_acceleration_structure,no_generatable_method,,
__metal_get_sampler,no_generatable_method,,
__metal_get_size_command_buffer,no_generatable_method,,
__metal_get_size_visible_function_table,no_generatable_method,,
__metal_get_tensor_handle,no_generatable_method,,
__metal_get_triangle_barycentric_coord_intersection_result,no_generatable_method,,
__metal_get_type_intersection_result,no_generatable_method,,
__metal_get_user_instance_id_intersection_result,no_generatable_method,,
__metal_get_vertex_value,no_generatable_method,,
__metal_get_visible_function_table_intersection_function_table,no_generatable_method,,
__metal_get_world_to_object_transform_intersection_result,no_generatable_method,,
__metal_imageblock_explicit_data,no_generatable_method,,
__metal_imageblock_explicit_mask_write,no_generatable_method,,
__metal_imageblock_implicit_data,no_generatable_method,,
__metal_imageblock_implicit_mask_write,no_generatable_method,,
__metal_imageblock_implicit_read,no_generatable_method,,
__metal_imageblock_implicit_write,no_generatable_method,,
__metal_init_strided_tensor,no_generatable_method,,
__metal_intersect,no_generatable_method,,
__metal_intersect_direct_access,no_generatable_method,,
__metal_intersection_function_table_t,no_generatable_method,,
__metal_intersection_result_t,no_generatable_method,,
__metal_is_equal_function_handle,no_generatable_method,,
__metal_is_null_instance_acceleration_structure,no_generatable_method,,
__metal_is_null_intersection_function_table,no_generatable_method,,
__metal_is_null_primitive_acceleration_structure,no_generatable_method,,
__metal_is_triangle_front_facing_intersection_result,no_generatable_method,,
__metal_next_intersection_query,no_generatable_method,,
__metal_release_intersect_payload,no_generatable_method,,
__metal_release_intersection_result,no_generatable_method,,
__metal_render_pipeline_state_t,no_generatable_method,,
__metal_reset_intersection_query,no_generatable_method,,
__metal_sample_texture_cube_t_grad,generated,sample,_texturecube_sample
__metal_sampler_t,no_generatable_method,,
__metal_select,no_generatable_method,,
__metal_set_front_facing_winding_render_command,no_generatable_method,,
__metal_set_index_mesh,no_generatable_method,,
__metal_set_indices_mesh,no_generatable_method,,
__metal_set_pipeline_state_compute_command,no_generatable_method,,
__metal_set_pipeline_state_render_command,no_generatable_method,,
__metal_set_primitive_count_mesh,no_generatable_method,,
__metal_set_primitive_mesh,no_generatable_method,,
__metal_set_threadgroups_per_grid_mesh_grid_properties,no_generatable_method,,
__metal_set_vertex_mesh,no_generatable_method,,
__metal_set_visible_function_table_intersection_function_table,no_generatable_method,,
__metal_simdgroup_matrix_8x8_init_diag,no_generatable_method,,
__metal_simdgroup_matrix_8x8_init_filled,no_generatable_method,,
__metal_simdgroup_matrix_8x8_load,no_generatable_method,,
__metal_simdgroup_matrix_8x8_multiply_accumulate,no_generatable_method,,
__metal_simdgroup_matrix_8x8_store,no_generatable_method,,
__metal_slice_tensor,no_generatable_method,,
__metal_tensor_t,no_generatable_method,,
__metal_tensor_thread_t,no_generatable_method,,
__metal_texture_1d_array_t,no_generatable_method,,
__metal_texture_1d_t,no_generatable_method,,
__metal_texture_2d_array_t,no_generatable_method,,
__metal_texture_2d_ms_array_t,no_generatable_method,,
__metal_texture_2d_ms_t,no_generatable_method,,
__metal_texture_2d_t,no_generatable_method,,
__metal_texture_3d_t,no_generatable_method,,
__metal_texture_buffer_1d_t,no_generatable_method,,
__metal_texture_cube_array_t,no_generatable_method,,
__metal_texture_cube_t,no_generatable_method,,
__metal_visible_function_table_t,no_generatable_method,,
__metal_write_imageblock_slice_to_texture_1d_array_t,unsupported_arg_types,write,_texture1d_array_write
__metal_write_imageblock_slice_to_texture_1d_t,unsupported_arg_types,write,_texture1d_write
__metal_write_imageblock_slice_to_texture_2d_array_t,unsupported_arg_types,write,_texture2d_array_write
__metal_write_imageblock_slice_to_texture_2d_t,unsupported_arg_types,write,_texture2d_write
__metal_write_imageblock_slice_to_texture_3d_t,unsupported_arg_types,write,_texture3d_write
__metal_write_imageblock_slice_to_texture_cube_array_t,unsupported_arg_types,write,_texturecube_array_write
__metal_write_imageblock_slice_to_texture_cube_t,unsupported_arg_types,write,_texturecube_write
__metal_write_texture_cube_array_t,generated,write,_texturecube_array_write
__metal_write_texture_cube_t,generated,write,_texturecube_write
