form,count
All OS,241
iOS 16,5
iOS 14,4
macOS 13,4
macOS 11,3
iOS 18,2
macOS 15,2
iOS 15,2
visionOS 26.4,2
macOS 13.,1
iOS 8.,1
iOS 9.,1
iOS 10.,1
iOS 11.,1
iOS 12.,1
iOS 13,1
iPadOS 13.1.,1
iPadOS 14.,1
iPadOS 15.,1
macOS 10.11.,1
macOS 10.12.,1
macOS 10.13.,1
macOS 10.14.,1
macOS 10.15.,1
macOS 11.,1
macOS 12.,1
macOS 10.13,1
tvOS 16,1
iPadOS 16,1
tvOS 16.,1
iOS 17,1
iPadOS 17,1
macOS 14,1
tvOS 17,1
visionOS 1.,1
iPadOS 18,1
tvOS 18,1
visionOS 2.,1
iOS 26,1
iPadOS 26,1
macOS 26,1
tvOS 26,1
visionOS 26.,1
iOS 27,1
iPadOS 27,1
macOS 27,1
tvOS 27,1
visionOS 27.,1
macOS 12,1
